ID,component,defect
386950d3-d005-45a4-a87a-623bbd001819,component,Centre Support
6c510e4f-dc6b-4dea-a615-9c57e3b6da73,defect,Corrosion-Heavy
6c510e4f-dc6b-4dea-a615-9c57e3b6da73,component,Centre Support
84670683-461b-4c6a-bbcd-4ea8717c85c9,defect,Corrosion-Heavy
84670683-461b-4c6a-bbcd-4ea8717c85c9,component,Centre Support
7b100185-72dd-4d46-8617-f78c6acb26e4,defect,Corrosion-Heavy
7b100185-72dd-4d46-8617-f78c6acb26e4,component,Centre Support
03c0b8a5-24a0-4306-8b85-8ea0abcbb079,defect,Corrosion-Heavy
03c0b8a5-24a0-4306-8b85-8ea0abcbb079,component,Centre Support
2b1b9226-cb65-466c-af27-3a00c58e51c8,defect,Corrosion-Heavy
2b1b9226-cb65-466c-af27-3a00c58e51c8,component,Centre Support
d8fb736f-d971-4b87-8a36-1ea2d61a5550,defect,Corrosion-Heavy
d8fb736f-d971-4b87-8a36-1ea2d61a5550,component,Centre Support
c6c42ea1-1e33-46a4-9d2f-4147dea5f27c,defect,Corrosion-Heavy
c6c42ea1-1e33-46a4-9d2f-4147dea5f27c,component,Centre Support
4f91ea85-1f86-45ef-8a93-9d9fd436de3f,defect,Corrosion-Heavy
4f91ea85-1f86-45ef-8a93-9d9fd436de3f,component,Centre Support
a772dca6-2e94-4749-a3e1-855400b3fa19,defect,Corrosion-Heavy
a772dca6-2e94-4749-a3e1-855400b3fa19,component,Centre Support
602236ac-6e84-46d5-b1e8-03ff46d6e67d,defect,Corrosion-Heavy
602236ac-6e84-46d5-b1e8-03ff46d6e67d,component,Centre Support
cae8d23b-0e84-45a8-8fc5-a7ac5c898445,defect,Corrosion-Heavy
cae8d23b-0e84-45a8-8fc5-a7ac5c898445,component,Centre Support
942b882e-0fa2-4c5b-b524-3112674a9ec0,defect,Corrosion-Heavy
942b882e-0fa2-4c5b-b524-3112674a9ec0,component,Centre Support
db19c5fb-3079-4109-bbeb-6328014fa909,component,Centre Support
82b8af7d-136c-45c7-8d54-3ec5d908ab92,component,Centre Support
d5d2868d-a5bc-4baa-b630-5eccb25ba921,component,Centre Support
cd0ac093-53f7-47e0-8ef9-c489e5c8a939,component,Centre Support
ba5e1e8b-7b45-463e-ae50-7e9008e53a21,component,Centre Support
0147a851-4a20-45e9-a68c-b08434bed53d,component,Centre Support
05721f7a-c81d-44de-b8d1-5168cf817697,component,Centre Support
1643b668-8405-4c81-885a-b88048ddfd9a,defect,Corrosion-Heavy
1643b668-8405-4c81-885a-b88048ddfd9a,component,Centre Support
febf67f9-7d91-49af-88a1-85e5da71e6e1,defect,Corrosion-Heavy
febf67f9-7d91-49af-88a1-85e5da71e6e1,component,Centre Support
decb5df6-d2e0-4560-91ca-a438fb60d09c,defect,Corrosion-Heavy
decb5df6-d2e0-4560-91ca-a438fb60d09c,component,Centre Support
02e2fe34-791f-40de-9abb-dd1f5f5b1347,defect,Corrosion-Heavy
02e2fe34-791f-40de-9abb-dd1f5f5b1347,component,Centre Support
b9163fca-9d43-4c6c-adb5-910a02de5e55,defect,Corrosion-Heavy
b9163fca-9d43-4c6c-adb5-910a02de5e55,component,Centre Support
27582b24-a06c-4df6-aaec-33bf94ccbe6b,defect,Corrosion-Heavy
27582b24-a06c-4df6-aaec-33bf94ccbe6b,component,Centre Support
313a19aa-397a-4490-a0b0-917f637cd3d1,defect,Corrosion-Heavy
313a19aa-397a-4490-a0b0-917f637cd3d1,component,Centre Support
7f44bcf4-b273-4f9e-90a5-ba67b546c846,defect,Corrosion-Heavy
7f44bcf4-b273-4f9e-90a5-ba67b546c846,component,Centre Support
89054f45-b3dc-4646-b833-ffcd8c6dce03,defect,Corrosion-Heavy
89054f45-b3dc-4646-b833-ffcd8c6dce03,component,Centre Support
48589e84-17bc-445a-8ed1-5763e7c83125,defect,Corrosion-Heavy
48589e84-17bc-445a-8ed1-5763e7c83125,component,Centre Support
43a08049-c750-44d8-8e7d-70eb4b6a4e9a,defect,Corrosion-Heavy
43a08049-c750-44d8-8e7d-70eb4b6a4e9a,component,Centre Support
28ce7ec7-3e91-4ea0-a6e1-1bf4c256332b,component,Centre Support
b64139f6-b7d0-45a7-849c-4efb48f5ca63,defect,Corrosion-Heavy
b64139f6-b7d0-45a7-849c-4efb48f5ca63,component,Centre Support
fd72f3b5-59a9-405e-b5af-3beafb340c69,defect,Corrosion-Heavy
fd72f3b5-59a9-405e-b5af-3beafb340c69,component,Centre Support
08f328ba-e30f-4a29-986e-55ec1280f44a,defect,Corrosion-Heavy
08f328ba-e30f-4a29-986e-55ec1280f44a,component,Centre Support
4ab8c7a7-a95b-40f8-9f2c-1299520585f2,defect,Corrosion-Heavy
4ab8c7a7-a95b-40f8-9f2c-1299520585f2,component,Centre Support
a9575dcc-3908-4802-8462-c6d607a6b82e,defect,Corrosion-Heavy
a9575dcc-3908-4802-8462-c6d607a6b82e,component,Centre Support
c116790a-d784-4051-9b91-cad37ee20c2c,defect,Corrosion-Heavy
c116790a-d784-4051-9b91-cad37ee20c2c,component,Centre Support
deb75ad4-8cbd-48b7-9bf9-450aa66047c9,defect,Corrosion-Heavy
deb75ad4-8cbd-48b7-9bf9-450aa66047c9,component,Centre Support
7c98c354-066b-4739-8145-b45b899c9530,defect,Corrosion-Heavy
7c98c354-066b-4739-8145-b45b899c9530,component,Centre Support
2c7f37ca-cc40-4433-8122-f0de30df49cc,defect,Corrosion-Heavy
2c7f37ca-cc40-4433-8122-f0de30df49cc,component,Centre Support
aaf9e908-8bbd-4fb1-95c6-6ff9d350db30,defect,Corrosion-Heavy
aaf9e908-8bbd-4fb1-95c6-6ff9d350db30,component,Centre Support
97054597-cfdd-4621-8713-871d6227a54e,defect,Corrosion-Heavy
97054597-cfdd-4621-8713-871d6227a54e,component,Centre Support
273ee17a-139d-46c8-9a33-711de2ac1174,defect,Corrosion-Heavy
273ee17a-139d-46c8-9a33-711de2ac1174,component,Centre Support
68767106-de3b-4fae-ab1f-a05ab0f78f9b,defect,Corrosion-Heavy
68767106-de3b-4fae-ab1f-a05ab0f78f9b,component,Centre Support
0479752a-c369-4344-9f89-b5f3047abc06,defect,Corrosion-Heavy
0479752a-c369-4344-9f89-b5f3047abc06,component,Centre Support
8e7d2911-e216-4edc-befc-6f75d4dcf376,defect,Corrosion-Heavy
8e7d2911-e216-4edc-befc-6f75d4dcf376,component,Centre Support
8932b491-78cd-4b0a-bb28-10cdf1980ace,defect,Corrosion-Heavy
8932b491-78cd-4b0a-bb28-10cdf1980ace,component,Centre Support
fb63edd8-23ae-4dce-aa0b-4fcdf72b2bd9,defect,Corrosion-Heavy
fb63edd8-23ae-4dce-aa0b-4fcdf72b2bd9,component,Centre Support
2c9e84bb-a588-410c-857b-52406fe68acc,defect,Corrosion-Heavy
2c9e84bb-a588-410c-857b-52406fe68acc,component,Centre Support
7a28c6ab-bee4-478c-a162-32ffeffc271a,defect,Corrosion-Heavy
7a28c6ab-bee4-478c-a162-32ffeffc271a,component,Centre Support
5ac5d44d-ad09-4fbc-95c6-c3a881537b0e,defect,Corrosion-Heavy
5ac5d44d-ad09-4fbc-95c6-c3a881537b0e,component,Centre Support
d217e5b6-ba64-400c-9edb-35587caf9a14,defect,Corrosion-Heavy
d217e5b6-ba64-400c-9edb-35587caf9a14,component,Centre Support
4605fc0f-3c17-4422-aedc-54052fff249e,defect,Corrosion-Heavy
4605fc0f-3c17-4422-aedc-54052fff249e,component,Centre Support
3a8c6564-e33c-45cf-832b-d0301d766aec,defect,Corrosion-Heavy
3a8c6564-e33c-45cf-832b-d0301d766aec,component,Centre Support
f9982a42-bd64-4f8d-9ed0-8c28f2c467e2,defect,Corrosion-Heavy
f9982a42-bd64-4f8d-9ed0-8c28f2c467e2,component,Centre Support
e7ce7e5f-6853-4c02-a7a8-66c83c7c2034,defect,Corrosion-Heavy
e7ce7e5f-6853-4c02-a7a8-66c83c7c2034,component,Centre Support
9dc096fd-fa7c-4ea0-8d78-45f11ba37143,defect,Corrosion-Heavy
9dc096fd-fa7c-4ea0-8d78-45f11ba37143,component,Centre Support
ca7a5165-1fbd-401f-a153-4bce2194a479,defect,Corrosion-Heavy
ca7a5165-1fbd-401f-a153-4bce2194a479,component,Centre Support
c13edc26-0c05-4ce5-9b6a-07d881c66279,defect,Corrosion-Heavy
c13edc26-0c05-4ce5-9b6a-07d881c66279,component,Centre Support
dd4ca900-0b95-4719-815f-6724ecc4976d,defect,Corrosion-Heavy
dd4ca900-0b95-4719-815f-6724ecc4976d,component,Centre Support
1fa1b398-b07a-4a7a-9e3a-7f7a02d0e634,defect,Corrosion-Heavy
1fa1b398-b07a-4a7a-9e3a-7f7a02d0e634,component,Centre Support
7269c23a-3558-4308-9bed-4f9fc7d3f212,defect,Corrosion-Heavy
7269c23a-3558-4308-9bed-4f9fc7d3f212,component,Centre Support
691c5ba7-1157-45ed-865e-334afd9ed05a,defect,Corrosion-Heavy
691c5ba7-1157-45ed-865e-334afd9ed05a,component,Centre Support
c54f7f22-0cd4-46b3-89ca-647bd772d4e7,defect,Corrosion-Heavy
c54f7f22-0cd4-46b3-89ca-647bd772d4e7,component,Centre Support
fbe92043-bbf7-4e9f-8561-4bd12ddc2f62,defect,Corrosion-Heavy
fbe92043-bbf7-4e9f-8561-4bd12ddc2f62,component,Centre Support
e27b2bf7-2052-4868-bbcc-5f7fa52cc109,defect,Corrosion-Heavy
e27b2bf7-2052-4868-bbcc-5f7fa52cc109,component,Centre Support
0784df72-90e8-4482-8f61-a2b5a5dc29fe,defect,Corrosion-Heavy
0784df72-90e8-4482-8f61-a2b5a5dc29fe,component,Centre Support
58a43ba6-d5ef-403a-b628-ce5fcbf2e2ad,defect,Corrosion-Heavy
58a43ba6-d5ef-403a-b628-ce5fcbf2e2ad,component,Centre Support
b36cc6ad-b9ab-431b-b8c4-6aa2e1e0aa7c,defect,Corrosion-Heavy
b36cc6ad-b9ab-431b-b8c4-6aa2e1e0aa7c,component,Centre Support
0f78da60-fa46-45f5-b7d5-b58822571263,component,Centre Support
47973566-dde1-418c-a614-14302487cc6f,component,Centre Support
2cb6ab90-c410-4cfc-960e-8165914dd96d,component,Centre Support
06ae60a8-ab7f-4d0d-88db-75022aaf2e79,defect,Corrosion-Heavy
06ae60a8-ab7f-4d0d-88db-75022aaf2e79,component,Centre Support
7ab57503-2311-4e14-8de0-8291dec6c1cf,component,Centre Support
7ebf3e5b-3ddd-475d-8080-88bbe5bf37f3,defect,Corrosion-Heavy
7ebf3e5b-3ddd-475d-8080-88bbe5bf37f3,component,Channel Bracket-Bolt
4929202f-6dd4-478a-90a9-5963ee2c4fd5,defect,Corrosion-Heavy
4929202f-6dd4-478a-90a9-5963ee2c4fd5,component,Channel Bracket-Bolt
f92073d2-34bd-40e4-ad35-6a98f1430c1f,defect,Corrosion-Heavy
f92073d2-34bd-40e4-ad35-6a98f1430c1f,component,Channel Bracket-Bolt
5fd99501-125a-4df0-8494-65104b34b3f6,defect,Corrosion-Heavy
5fd99501-125a-4df0-8494-65104b34b3f6,component,Channel Bracket-Bolt
83c81869-6bfc-42a0-8af0-56049e86d0bf,defect,Corrosion-Heavy
83c81869-6bfc-42a0-8af0-56049e86d0bf,component,Channel Bracket-Bolt
80ace5fa-b1ce-4b59-9f8f-65a17d101ad0,defect,Corrosion-Heavy
80ace5fa-b1ce-4b59-9f8f-65a17d101ad0,component,Channel Bracket-Bolt
31bd7861-3eea-4cee-9cc6-8d91ea1fbb0f,defect,Corrosion-Heavy
31bd7861-3eea-4cee-9cc6-8d91ea1fbb0f,component,Channel Bracket-Bolt
1c07a692-9c4b-49c0-80ba-ff29de247a06,defect,Corrosion-Heavy
1c07a692-9c4b-49c0-80ba-ff29de247a06,component,Channel Bracket-Bolt
ee9eb6a1-0640-45e4-a8f6-c4ff949563f8,defect,Corrosion-Heavy
ee9eb6a1-0640-45e4-a8f6-c4ff949563f8,component,Channel Bracket-Bolt
5ca8bb34-d645-499b-b62e-7fd9e9661844,defect,Corrosion-Heavy
5ca8bb34-d645-499b-b62e-7fd9e9661844,component,Channel Bracket-Bolt
8303b134-6f85-403d-a114-6161b14dcfc0,defect,Corrosion-Heavy
8303b134-6f85-403d-a114-6161b14dcfc0,component,Channel Bracket-Bolt
705f676c-9f28-46b8-bcf9-739b9949c927,defect,Corrosion-Heavy
705f676c-9f28-46b8-bcf9-739b9949c927,component,Channel Bracket-Bolt
8b7e7f1a-ac28-4dc6-b18f-ff58909787b8,defect,Corrosion-Heavy
8b7e7f1a-ac28-4dc6-b18f-ff58909787b8,component,Channel Bracket-Bolt
fa7fe671-af76-488a-a6a9-60ded0ed5fad,defect,Corrosion-Heavy
fa7fe671-af76-488a-a6a9-60ded0ed5fad,component,Channel Bracket-Bolt
69284470-f43a-441e-b6f4-2ecb85caa178,defect,Corrosion-Heavy
69284470-f43a-441e-b6f4-2ecb85caa178,component,Channel Bracket-Bolt
b22e3043-b6d6-41ca-aae2-e623625370b2,defect,Corrosion-Heavy
b22e3043-b6d6-41ca-aae2-e623625370b2,component,Channel Bracket-Bolt
877e2837-ccc6-40c8-b826-03ad45dbdaea,defect,Corrosion-Heavy
877e2837-ccc6-40c8-b826-03ad45dbdaea,component,Channel Bracket-Bolt
0a3d978a-8df1-443a-97f8-0cd57f635d98,defect,Corrosion-Heavy
0a3d978a-8df1-443a-97f8-0cd57f635d98,component,Channel Bracket-Bolt
4e6e80cb-56e2-4e36-81dc-fdc00fbde3d0,defect,Corrosion-Heavy
4e6e80cb-56e2-4e36-81dc-fdc00fbde3d0,component,Channel Bracket-Bolt
1d5f3168-f56f-4c13-bd17-e8a0ff3bbd30,defect,Corrosion-Heavy
1d5f3168-f56f-4c13-bd17-e8a0ff3bbd30,component,Channel Bracket-Bolt
15834cc6-47af-4d5b-8796-ec10cb26b044,defect,Corrosion-Heavy
15834cc6-47af-4d5b-8796-ec10cb26b044,component,Channel Bracket-Bolt
17133cac-e5cd-492e-bc5d-d907cd9ed5f6,defect,Corrosion-Heavy
17133cac-e5cd-492e-bc5d-d907cd9ed5f6,component,Channel Bracket-Bolt
bf7f3a66-11e8-49ed-8280-8658aa2c7987,defect,Corrosion-Heavy
bf7f3a66-11e8-49ed-8280-8658aa2c7987,component,Channel Bracket-Bolt
39312999-9e80-494b-99fe-a63616603457,defect,Corrosion-Heavy
39312999-9e80-494b-99fe-a63616603457,component,Channel Bracket-Bolt
32c1e639-8ab5-4787-8322-00e8a6413e4d,defect,Corrosion-Heavy
32c1e639-8ab5-4787-8322-00e8a6413e4d,component,Channel Bracket-Bolt
16bf86e1-4a00-4e94-ac63-262178f5ba9a,defect,Corrosion-Heavy
16bf86e1-4a00-4e94-ac63-262178f5ba9a,component,Channel Bracket-Bolt
5b795736-9d7c-4e73-ae7e-ff50285ac056,defect,Corrosion-Heavy
5b795736-9d7c-4e73-ae7e-ff50285ac056,component,Channel Bracket-Bolt
5dc8814d-f02e-412a-a92e-215daf02085b,defect,Corrosion-Heavy
5dc8814d-f02e-412a-a92e-215daf02085b,component,Channel Bracket-Bolt
347f9283-3877-4f40-a38c-d1d8a8849904,defect,Corrosion-Heavy
347f9283-3877-4f40-a38c-d1d8a8849904,component,Channel Bracket-Bolt
0f5314af-72c2-42e7-ac24-4e022c617f16,defect,Corrosion-Heavy
0f5314af-72c2-42e7-ac24-4e022c617f16,component,Channel Bracket-Bolt
1274a3b6-f55c-4753-8f16-a26b17e1114a,defect,Corrosion-Heavy
1274a3b6-f55c-4753-8f16-a26b17e1114a,component,Channel Bracket-Bolt
f0991b60-28d0-44c8-a8cf-ebfc8aadff57,defect,Corrosion-Heavy
f0991b60-28d0-44c8-a8cf-ebfc8aadff57,component,Channel Bracket-Bolt
38614f9c-41f2-45f5-aa0d-19e9bc21539c,defect,Corrosion-Heavy
38614f9c-41f2-45f5-aa0d-19e9bc21539c,component,Channel Bracket-Bolt
cb56a9f3-69d6-49b1-8dac-91604b61c86d,defect,Corrosion-Heavy
cb56a9f3-69d6-49b1-8dac-91604b61c86d,component,Channel Bracket-Bolt
4689ec45-c59d-4266-806d-65df38b779a0,defect,Corrosion-Heavy
4689ec45-c59d-4266-806d-65df38b779a0,component,Channel Bracket-Bolt
db65ebf4-e2ca-4cbe-9b7a-10424f35aad3,defect,Corrosion-Heavy
db65ebf4-e2ca-4cbe-9b7a-10424f35aad3,component,Channel Bracket-Bolt
6f0cf841-05a6-4294-abf5-ac5ff8d3e4a7,defect,Corrosion-Heavy
6f0cf841-05a6-4294-abf5-ac5ff8d3e4a7,component,Channel Bracket-Bolt
208e637a-6b19-42bc-93a3-fcd2d3bac6cc,defect,Corrosion-Heavy
208e637a-6b19-42bc-93a3-fcd2d3bac6cc,component,Channel Bracket-Bolt
a49f32e4-15dc-4e89-9855-e78efb7d9ac3,defect,Corrosion-Heavy
a49f32e4-15dc-4e89-9855-e78efb7d9ac3,component,Channel Bracket-Bolt
0c7843ba-9f2e-4e73-bb0e-338c8d013839,defect,Corrosion-Heavy
0c7843ba-9f2e-4e73-bb0e-338c8d013839,component,Channel Bracket-Bolt
bda8d309-7277-4a04-a191-f6ec3db16a7b,defect,Corrosion-Heavy
bda8d309-7277-4a04-a191-f6ec3db16a7b,component,Channel Bracket-Bolt
2e0a0073-e129-42e2-9ac5-d7c733b2a3af,defect,Corrosion-Heavy
2e0a0073-e129-42e2-9ac5-d7c733b2a3af,component,Channel Bracket-Bolt
3eb68b36-814c-42f7-8244-ccc54651dcc0,defect,Corrosion-Heavy
3eb68b36-814c-42f7-8244-ccc54651dcc0,component,Channel Bracket-Bolt
d84d2584-a6ae-43fa-affe-cb927a02910f,defect,Corrosion-Heavy
d84d2584-a6ae-43fa-affe-cb927a02910f,component,Channel Bracket-Bolt
2b5560b9-6386-40a5-9a20-b7c5bc8a8a30,defect,Corrosion-Heavy
2b5560b9-6386-40a5-9a20-b7c5bc8a8a30,component,Channel Bracket-Bolt
9c26dd09-13fa-43f4-88a7-692b7fe9888e,defect,Corrosion-Heavy
9c26dd09-13fa-43f4-88a7-692b7fe9888e,component,Channel Bracket-Bolt
d5405771-7463-4516-9474-c88eaa8fcff0,defect,Corrosion-Heavy
d5405771-7463-4516-9474-c88eaa8fcff0,component,Channel Bracket-Bolt
95cbde84-902b-4674-9cd6-58203e609052,defect,Corrosion-Heavy
95cbde84-902b-4674-9cd6-58203e609052,component,Channel Bracket-Bolt
93998521-9246-4237-b7ff-5e3ef2b5e613,defect,Corrosion-Heavy
93998521-9246-4237-b7ff-5e3ef2b5e613,component,Channel Bracket-Bolt
cc430494-8c6a-44ac-9b17-2db723c2a343,defect,Corrosion-Heavy
cc430494-8c6a-44ac-9b17-2db723c2a343,component,Channel Bracket-Bolt
040e7774-b1bf-4096-9dd6-74eb507be4d5,defect,Corrosion-Heavy
040e7774-b1bf-4096-9dd6-74eb507be4d5,component,Channel Bracket-Bolt
71b520f4-7edf-4b59-9515-7e593f1d16c9,defect,Corrosion-Heavy
71b520f4-7edf-4b59-9515-7e593f1d16c9,component,Channel Bracket-Bolt
c0b98ee2-a40f-4a12-befd-6ae9116e7a93,defect,Corrosion-Heavy
c0b98ee2-a40f-4a12-befd-6ae9116e7a93,component,Channel Bracket-Bolt
e2da9de1-2a3d-4302-958c-33481faa741f,defect,Corrosion-Heavy
e2da9de1-2a3d-4302-958c-33481faa741f,component,Channel Bracket-Bolt
1f38d2de-1889-4795-b70a-f7d807c9cb63,defect,Corrosion-Heavy
1f38d2de-1889-4795-b70a-f7d807c9cb63,component,Channel Bracket-Bolt
e3b253db-e5b2-4f2f-9cf4-3c5433b56518,defect,Corrosion-Heavy
e3b253db-e5b2-4f2f-9cf4-3c5433b56518,component,Channel Bracket-Bolt
fa5d8033-e1da-436a-8760-0d622f497e46,defect,Corrosion-Heavy
fa5d8033-e1da-436a-8760-0d622f497e46,component,Channel Bracket-Bolt
82bad91c-9c10-4096-95d5-efc9f08804ae,defect,Corrosion-Heavy
82bad91c-9c10-4096-95d5-efc9f08804ae,component,Channel Bracket-Bolt
8a9a777f-7511-498f-b645-f3b44586fcec,defect,Corrosion-Heavy
8a9a777f-7511-498f-b645-f3b44586fcec,component,Channel Bracket-Bolt
7a4310f8-ab09-4be0-a8a8-969a369eac31,defect,Corrosion-Heavy
7a4310f8-ab09-4be0-a8a8-969a369eac31,component,Channel Bracket-Bolt
666d451c-fb05-4204-aa70-e66de1ca9f04,defect,Corrosion-Heavy
666d451c-fb05-4204-aa70-e66de1ca9f04,component,Channel Bracket-Bolt
3d9806ad-618e-48e2-bf68-f20946447927,defect,Corrosion-Heavy
3d9806ad-618e-48e2-bf68-f20946447927,component,Channel Bracket-Bolt
696a62de-0a3e-41d6-9a72-27b7fbb8ca58,defect,Corrosion-Heavy
696a62de-0a3e-41d6-9a72-27b7fbb8ca58,component,Channel Bracket-Bolt
2fd1cf99-a2b9-473b-92c0-4cace26addc8,defect,Corrosion-Heavy
2fd1cf99-a2b9-473b-92c0-4cace26addc8,component,Channel Bracket-Bolt
4a0c1f2a-b5ff-450d-8d79-fbb2391bd3d4,defect,Corrosion-Heavy
4a0c1f2a-b5ff-450d-8d79-fbb2391bd3d4,component,Channel Bracket-Bolt
d8e7ead3-9eef-47a2-bb14-44ebb19c54e3,defect,Corrosion-Heavy
d8e7ead3-9eef-47a2-bb14-44ebb19c54e3,component,Channel Bracket-Bolt
accc3dee-8d1d-4cd8-81c8-392bb28dd1f4,defect,Corrosion-Heavy
accc3dee-8d1d-4cd8-81c8-392bb28dd1f4,component,Channel Bracket-Bolt
60f17b86-dc29-4bb4-b473-b9256735f5eb,defect,Corrosion-Heavy
60f17b86-dc29-4bb4-b473-b9256735f5eb,component,Channel Bracket-Bolt
2b66253b-3f0d-4d1f-9592-a28470612fbc,defect,Corrosion-Heavy
2b66253b-3f0d-4d1f-9592-a28470612fbc,component,Channel Bracket-Bolt
07510cf1-e7c6-44ef-859e-d1f370768b30,defect,Corrosion-Heavy
07510cf1-e7c6-44ef-859e-d1f370768b30,component,Channel Bracket-Bolt
39622cbb-c4c0-4dff-9c4c-acf90720076d,defect,Corrosion-Heavy
39622cbb-c4c0-4dff-9c4c-acf90720076d,component,Channel Bracket-Bolt
9f3774cb-bd81-4cf4-8f4f-40b8e31ee057,defect,Corrosion-Heavy
9f3774cb-bd81-4cf4-8f4f-40b8e31ee057,component,Channel Bracket-Bolt
ce50875e-2bd8-4bd3-b6c3-49cef7e6be1b,defect,Corrosion-Heavy
ce50875e-2bd8-4bd3-b6c3-49cef7e6be1b,component,Channel Bracket-Bolt
82d2d652-32e4-4d93-bb26-5b664827958b,defect,Corrosion-Heavy
82d2d652-32e4-4d93-bb26-5b664827958b,component,Channel Bracket-Bolt
47773162-ebe4-4f16-a7ca-63a87a981db4,defect,Corrosion-Heavy
47773162-ebe4-4f16-a7ca-63a87a981db4,component,Channel Bracket-Bolt
48cd6ed3-edf9-4907-a1b2-322d8c963320,defect,Corrosion-Heavy
48cd6ed3-edf9-4907-a1b2-322d8c963320,component,Channel Bracket-Bolt
f6dc1041-a3c5-4e69-b8a4-6810dc9e97ac,defect,Corrosion-Heavy
f6dc1041-a3c5-4e69-b8a4-6810dc9e97ac,component,Channel Bracket-Bolt
d77c133a-53e2-4dd4-ba36-bee3907f5285,defect,Corrosion-Heavy
d77c133a-53e2-4dd4-ba36-bee3907f5285,component,Channel Bracket-Bolt
edaf1aa8-7c72-4636-a99c-8b8ad1cd5496,defect,Corrosion-Heavy
edaf1aa8-7c72-4636-a99c-8b8ad1cd5496,component,Channel Bracket-Bolt
2be78ddc-c48e-4b69-98d1-e1e2be196de6,defect,Corrosion-Heavy
2be78ddc-c48e-4b69-98d1-e1e2be196de6,component,Channel Bracket-Bolt
cf3ffb0e-df2f-40b3-a53c-02e114f30297,defect,Corrosion-Heavy
cf3ffb0e-df2f-40b3-a53c-02e114f30297,component,Channel Bracket-Bolt
fc7ecf2d-279d-4284-bb44-e094abaf936f,defect,Corrosion-Heavy
fc7ecf2d-279d-4284-bb44-e094abaf936f,component,Channel Bracket-Bolt
9f072eec-bbfb-4edc-9a17-abfd71805efa,defect,Corrosion-Heavy
9f072eec-bbfb-4edc-9a17-abfd71805efa,component,Channel Bracket-Bolt
9888b100-0e3e-4f5d-96ed-26a878d29599,defect,Corrosion-Heavy
9888b100-0e3e-4f5d-96ed-26a878d29599,component,Channel Bracket-Bolt
f8998f8a-4346-45eb-ac89-2fa69500c9ba,defect,Corrosion-Heavy
f8998f8a-4346-45eb-ac89-2fa69500c9ba,component,Channel Bracket-Bolt
810a9103-0137-459b-adf3-96244c180337,defect,Corrosion-Heavy
810a9103-0137-459b-adf3-96244c180337,component,Channel Bracket-Bolt
5de84dd3-9b52-4462-8576-5dc02fedb22a,defect,Corrosion-Heavy
5de84dd3-9b52-4462-8576-5dc02fedb22a,component,Channel Bracket-Bolt
59a2f3d9-5ce7-4ca9-9a22-3d6b71cea106,defect,Corrosion-Heavy
59a2f3d9-5ce7-4ca9-9a22-3d6b71cea106,component,Channel Bracket-Bolt
6e781fc1-0ebc-4f25-b6ba-c3373bec7671,defect,Corrosion-Heavy
6e781fc1-0ebc-4f25-b6ba-c3373bec7671,component,Channel Bracket-Bolt
